LDA1,target
-2.411706783088886,0
1.2483993936040905,1
1.7142684687461438,1
0.4505229547500588,1
0.8279017393425102,1
1.1222981315952911,1
1.0469339782665186,1
1.1002900090777834,1
-1.2260031070185962,0
4.054807896493333,1
-1.6064792481624588,0
0.5454234347425636,1
1.1369445131933853,1
-0.7569261294427942,0
3.2153483454113414,1
1.6390362983479505,1
0.9888398727007726,1
0.1982039681355687,1
3.4110050810812083,1
0.8265463638322447,1
0.4720068411792532,1
0.0642374669220456,1
1.4747337852657665,1
-0.3692726851814408,0
-1.4415066380969892,0
3.7948588187831542,1
0.8278321529393369,1
1.1635903256697535,1
1.4240601117278526,1
0.8689646307166177,1
0.752586287046396,1
0.9977703493005488,1
1.1205749829807408,1
-3.034098479866953,0
-0.7034570070041872,1
-0.8479330020234018,0
1.303155775869402,1
-1.0124011939544932,0
1.2955641956587491,1
1.361617038473089,1
1.774907214159147,1
-0.3559706103990011,0
0.8995573456170156,1
-1.3219832463782628,0
-0.14919409885039,0
-1.0614447166993053,0
0.5122325748303702,1
-1.1272788752970853,0
-1.4890265216696974,0
-1.0523573864345246,0
-0.7132985821275871,0
1.5467298763010826,1
-1.099691637932638,0
1.3572471773754011,1
1.5720160281194782,1
0.9179634299573964,1
-2.202001692223569,0
-0.2089640825229058,0
-2.4858319220616467,0
-1.5163121026271829,0
0.4385538509096164,1
1.6018732925813346,1
1.0583448855627544,1
0.8114594515656968,1
-1.1633036668097896,0
-0.5747120178202207,1
3.4715163506739457,1
1.5075801602805246,1
-1.3470389305989638,0
1.5270230404806815,1
-3.052845514206124,0
-0.6400442229144034,0
1.1516718419925795,1
-1.604007204379169,0
-0.4022702145589529,1
1.7602200396154766,1
-0.7116611785822762,0
0.3591076796798014,1
-0.2235133513425794,0
3.668166624879864,1
3.827856348160666,1
-1.471455419541138,0
1.8950104186611323,1
1.2067671766608272,1
-0.1532774068224084,0
0.9417598205814708,1
1.607084194218537,1
0.9057689557481944,1
1.7891273073036966,1
-2.693247722375379,0
0.560335407560979,1
0.8645562434581121,1
0.4488778335918779,1
0.3293318911063976,1
-2.0296622342904205,0
-0.2622344547386976,1
-0.0163788881509366,1
-0.0807541406029049,0
-1.2067104487638105,0
0.9899477226425208,1
-0.5669560497223949,1
1.7614075383038938,1
-0.9504005088530364,0
0.9646127973498908,1
0.212163425005443,0
1.9279220143588445,1
-2.754721952189008,0
-0.5543018280420127,0
-1.2769213622694215,0
1.9543280587399912,1
-1.1064327680586128,0
0.4845218495379075,1
1.173504312628948,1
0.5886882879654396,1
-2.588485956007407,0
1.5809641863536006,1
0.6950649637792383,1
2.0172028477151303,1
2.3122401880730834,1
-0.8445552192850807,0
-0.5802982622433922,0
-1.25630536214034,0
0.5032712463236049,1
3.5600144993374823,1
-1.49708341757854,0
0.4297181228413692,1
1.080004473136162,1
0.3679429465805733,1
0.8276797160383651,1
0.892422771943638,1
-1.5367564208111784,0
-1.1400656052722522,0
-1.8745008719615055,0
1.0270334948597906,1
0.1124151666207778,1
-0.0930907091349777,0
-1.952313889543405,0
0.999978187177636,1
-0.924746297290754,0
1.169581822615761,1
-1.9852914412892708,0
-1.653781998661525,0
-1.0316537771582417,0
0.7019025146344477,1
1.2074982011383486,1
-1.0453987233320057,0
-2.621483485384919,0
-2.205794365102167,0
-1.134574286658075,0
-2.72724161088478,0
0.516241715574384,1
0.8594252425661257,1
1.1488901922619128,1
-3.5809439951039432,0
-0.6252789730960964,0
1.316245162165108,1
1.846259190400214,1
-2.7460717458721717,0
-1.88669028052204,0
-3.139811563135429,0
1.1687864184512595,1
1.1456279566301035,1
-0.6399541053053748,0
1.0801832840381074,1
0.3339151364539968,1
1.26009768047405,1
-2.623085155605694,0
1.1846693713700915,1
-1.1944414347963663,0
-0.518007543881547,0
-1.2303067257946378,0
0.5966357018465707,1
-3.0548116732162174,0
1.974897701618288,1
1.392963252716014,1
1.4547926045843398,1
3.338032629617308,1
-0.1116455907217554,0
-0.6487123472099903,0
0.6463988956979017,1
-2.215776155425245,0
-2.3436454935771454,0
0.7716664829689394,1
-0.979189771512663,0
-3.890662570230625,0
1.378831602783387,1
-1.2527314229975175,0
-1.2573095130440612,0
-0.828163460596031,0
-0.805694460636843,0
0.2447202367775111,1
0.4702737169460927,1
-0.6547895993170347,1
-0.8642162190266541,0
-2.5427433274772504,0
-1.329066741667463,0
-0.6912945172550111,0
-2.316826487409616,0
1.7302932360964756,1
-0.7655837185174865,0
1.4637335570015222,1
-1.3630272969616348,0
-0.6626148097156389,0
-3.861123917227445,0
1.1343995919463064,1
